ID,item_cnt_month
0,0.2986703
1,0.1205224
2,0.680431
3,0.14666843
4,0.1205224
5,0.3893499
6,0.9951252
7,0.054431587
8,0.6271087
9,0.1205224
10,2.1074476
11,0.20791414
12,0.10422318
13,0.13601287
14,1.2340944
15,2.2761858
16,0.1205224
17,0.08856865
18,1.0629051
19,0.08179287
20,0.3867474
21,0.1205224
22,0.55223036
23,0.52247155
24,1.3382562
25,0.1205224
26,0.1205224
27,0.30481473
28,0.6809002
29,3.177976
30,0.19432749
31,0.120522395
32,0.23244585
33,0.36018646
34,0.093215615
35,0.106181465
36,0.09948038
37,0.3039018
38,0.19581057
39,0.10838863
40,0.57093644
41,0.5774276
42,2.655133
43,2.6356294
44,0.3288649
45,0.1205224
46,0.36474904
47,0.08303462
48,0.16721417
49,0.7332318
50,1.051846
51,0.20791414
52,0.59628177
53,0.1269059
54,6.453079
55,2.829583
56,1.7451626
57,1.6427088
58,5.3712873
59,4.3082304
60,4.729927
61,0.30243567
62,0.23306553
63,0.32970905
64,0.1205224
65,0.1205224
66,0.62020016
67,0.105530664
68,0.3288649
69,0.06541713
70,0.1205224
71,1.709448
72,0.40828878
73,0.6437968
74,0.1205224
75,0.1205224
76,0.31638542
77,0.1205224
78,0.14782716
79,0.5258393
80,0.6716573
81,2.8813584
82,0.57196534
83,0.1364575
84,0.560439
85,0.935724
86,0.40168154
87,0.09491621
88,2.8231509
89,1.0002022
90,0.6888366
91,0.37439612
92,1.7372262
93,0.14666843
94,0.11134132
95,0.10116474
96,0.105530664
97,0.29643822
98,0.4866667
99,1.1366732
100,1.1571033
101,0.6669229
102,0.12555881
103,0.37439612
104,0.08793873
105,0.1205224
106,0.1205224
107,0.41455036
108,0.084874995
109,0.1205224
110,0.15290226
111,0.1205224
112,0.1205224
113,0.1205224
114,0.18749991
115,0.19271635
116,0.1205224
117,0.092550844
118,7.762492
119,0.09742804
120,0.08786565
121,0.08493237
122,0.29091728
123,0.34933582
124,0.38154435
125,1.0805339
126,0.120522395
127,0.102629416
128,0.1205224
129,0.21285139
130,0.37439612
131,0.1205224
132,0.37439612
133,2.837588
134,0.08797811
135,0.37439612
136,0.20791414
137,0.1205224
138,0.84187484
139,0.1205224
140,0.12356499
141,0.431025
